Pair,Num_Trades,Total_PnL,Avg_PnL
F G FINANCIAL GROUP INC NV-INFRARED CAMERAS HOLDINGS INC,1,-0.41981382461815286,-0.41981382461815286
F G FINANCIAL GROUP INC NV-MULTISENSOR AI HOLDINGS INC,1,-0.41981382461815286,-0.41981382461815286
WORLD ACCEPTANCE CORP-U S GLOBAL INVESTORS INC,4,-0.44020622520222663,-0.11005155630055666
MAGNOLIA OIL & GAS CORP-EQUINOX GOLD CORP,3,-0.44191030904674566,-0.1473034363489152
NEUEHEALTH INC-KORE GROUP HOLDINGS INC,2,-0.45388994307400377,-0.22694497153700188
BRIGHT HEALTH GROUP INC-KORE GROUP HOLDINGS INC,2,-0.45388994307400377,-0.22694497153700188
SIEBERT FINANCIAL CORP-INNOVID CORP,1,-0.4551350988036025,-0.4551350988036025
STRYVE FOODS INC-SCILEX HOLDING CO,1,-0.4584521861117606,-0.4584521861117606
NATIONAL BANKSHARES INC-AMERANT BANCORP INC,3,-0.4860020704090189,-0.16200069013633964
FLUSHING FINANCIAL CORP-FIRST WESTERN FINANCIAL INC,2,-0.4878490615394673,-0.24392453076973364
HAWTHORN BANCSHARES INC-ENTERPRISE BANCORP INC,4,-0.5060470178801855,-0.12651175447004637
WHEELS UP EXPERIENCE INC-LIVEWIRE GROUP INC,2,-0.5170647826249484,-0.2585323913124742
OSCAR HEALTH INC-VERDE CLEAN FUELS INC,1,-0.5304454325195027,-0.5304454325195027
LOTTERY COM INC-URGENT LY INC,2,-0.5345746753246754,-0.2672873376623377
B R P GROUP INC-JACKSON FINANCIAL INC,2,-0.5365208426247043,-0.26826042131235217
BALDWIN INSURANCE GROUP INC-JACKSON FINANCIAL INC,2,-0.5365208426247043,-0.26826042131235217
180 LIFE SCIENCES CORP-MICROVAST HOLDINGS INC,1,-0.5387878787878781,-0.5387878787878781
FIRST INTERNET BANCORP-KINSALE CAPITAL GROUP INC,2,-0.554252952154873,-0.2771264760774365
C M E GROUP INC-ARTISAN PARTNERS ASSET MGMT INC,6,-0.5867902498152747,-0.09779837496921245
C & F FINANCIAL CORP-RE MAX HOLDINGS INC,4,-0.6343215177255923,-0.15858037943139808
PROASSURANCE CORP-FIRST GUARANTY BANCSHARES INC,3,-0.6361692618481508,-0.21205642061605026
SPECTRAL AI INC-PSQ HOLDINGS INC,3,-0.6428672616517919,-0.21428908721726395
IMMUNOVANT INC-UNITED HOMES GROUP INC,3,-0.6447762030174027,-0.2149254010058009
NORTHEAST CMNTY BANCORP INC MD-FRONTDOOR INC,7,-0.6663777460669802,-0.09519682086671145
PLUMAS BANCORP-BAYCOM CORP,10,-0.6670357358907335,-0.06670357358907335
JANUS INTERNATIONAL GROUP INC-WESTROCK COFFEE CO,4,-0.6980695792880257,-0.17451739482200643
SEMLER SCIENTIFIC INC-PLANET LABS P B C,3,-0.7442975361605363,-0.24809917872017875
M B I A INC-PODCASTONE INC,3,-0.7709071432663113,-0.2569690477554371
NORTHEAST BANK-THIRD COAST BANCSHARES INC,7,-0.7932298658541894,-0.1133185522648842
SURROZEN INC-N E T POWER INC,1,-0.8133932183347682,-0.8133932183347682
PRIORITY TECHNOLOGY HOLDINGS INC-TEXAS PACIFIC LAND CORP,1,-0.8160264968126159,-0.8160264968126159
RELIANCE GLOBAL GROUP INC-ALLURION TECHNOLOGIES INC,2,-0.822064684242796,-0.411032342121398
COMPLETE SOLARIA INC-ALIGNMENT HEALTHCARE INC,2,-0.8471633490454067,-0.42358167452270334
AERSALE CORP-NAVITAS SEMICONDUCTOR CORP,5,-0.8719381160598877,-0.17438762321197754
MERIDIAN CORP-CITIZENS FINANCIAL SERVICES INC,6,-1.0032239819004523,-0.1672039969834087
HERITAGE INSURANCE HOLDINGS INC-ONEMEDNET CORP,1,-1.1286477155241914,-1.1286477155241914
ALTI GLOBAL INC-BITCOIN DEPOT INC,4,-1.147894400292318,-0.2869736000730795
H F FOODS GROUP INC-ROYALTY MANAGEMENT HOLDING CORP,4,-1.1747457627118643,-0.29368644067796607
BUTTERFLY NETWORK INC-ALTC ACQUISITION CORP,3,-1.175867158671587,-0.39195571955719566
BUTTERFLY NETWORK INC-OKLO INC,3,-1.175867158671587,-0.39195571955719566
OFFERPAD SOLUTIONS INC-BRIDGER AEROSPACE GP HLDGS INC,5,-1.2532228075612024,-0.25064456151224046
SHF HOLDINGS INC-LANZATECH GLOBAL INC,4,-1.3542105749676463,-0.3385526437419116
LUCID GROUP INC-LOANDEPOT INC,4,-1.3563664596273293,-0.3390916149068323
FLEXSHOPPER INC-PLBY GROUP INC,4,-1.456269217290761,-0.36406730432269024
VINCE HOLDING CORP-EVOLV TECHNOLOGIES HOLDINGS INC,4,-1.5159212445308707,-0.3789803111327177
SYSTEM1 INC-S E S A I CORP,2,-2.012492010816126,-1.006246005408063
FIRST SAVINGS FINANCIAL GRP INC-HENNESSY ADVISORS INC,1,-2.0514195517205094,-2.0514195517205094
